latin_name,arabic_name
AIT SAADI, آيت سعدي
FETATNIA, فطاطنية
DJEDAR, جدار
HEMIDJ, حميج
CHIEKH, شيخ
METIDJI, متيجي
GOUBER, قوبر
GOURECHE, قورش
KOUCHAH, كوشاح
OULD KOUNT,  ولد كونت
KHIRI, خيري
KHERFANE, خرفان
AHMED ANIS,  أحمد أنيس
AMIOUR, عميور
MAROUCHE, مروش
BAHADDI, بهادي
BERRADJ, براج
AFENAI, أفناي
ZOUANEB, زوانب
ACIL, عسيل
BOUNEKAR, بونقار
MELLOUK, ملاك
BENTRAT, بن طراط
ESSMINE, السمين
ZAHAR, زهار
OUHAMOU, أوحمو
TAHAR CHAOUCHE,  طاهر شاوش
BOUHEDBA, بوحدبة
CHIAKH, شياخ
BOUBENNA, بوبنة
SLAMANI, سلماني
OUCHEKDID, أوشكديد
BOUKHEMISS, بوخميس
ZADI, زادي
LIMANI, ليماني
KENDEL, كندل
IFTENE, يفتن
NEKKAB, نقاب
BENMAZA, بن مازا
BOURIF, بوريف
BOULKHEMAIR, بولخمير
BEKHSIS, بخسيس
TURKI, تركي
MAAFI, معافي
LATTAFI, لطافي
BENIRED, بنيرد
HADRACHE, حدراش
KLAI, كلاي
BENZOUAOUA, بنزواوة
CHERAD, شراد
DJEHAICHE, جحايش
TAIB, طيب
AFFIR, عفير
AMAR MANSOUR,  عمار منصور
OUSSALAH, أوصلاح
BENDJENIDI, بنجنيدي
BENAZZOUG, بنعزوق
AKROUF, أكروف
MOULAIHCENE, مولاي حسن
BENMADANI, بنمداني
BENSAIDI, بن سعيدي
MAKOURA, ماكورة
GHAZIBAOUNE, غزيباون
BOUSSAADA, بوسعادة
MEHENNI, محني
REGGAB, رقاب
OULD CHALL,  ولد شل
ATI, عطي
RAMDA, رمضة
BELMEKKI, بلمكي
SEGHAIRIA, سغيرية
KHELALFA, خلالفة
ELEULMI, العلمي
BKHITI, بخيتي
INGRACHEN, إنقراشن
GUERINECHE, قرينش
BELLEBOUKH, بلبوخ
CHABANE CHAOUCHE,  شعبان شاوش
BOULEAM, بولعام
ZOUAD, زواد
ALABSSI, العبسي
BOUZEBRA, بوزبرة
ABEDDOU, عابدو
ASSAD, أسد
BELKACI, بلقاسي
GASRI, القصري
BOUBOU, بوبو
OUHNIA, وهنية
EL HACEN,  الحسن
SEKKOURI, السكوري
CHINOUNE, شينون
AMLIK, أمليك
BEZGHOUD, بزغود
IKARIOUANE, إيكاريوان
HAMSI, حمسي
BOULKEDRA, بولقدرة
BERICHI, بريشي
MEHALI, محالي
BOUSSAKOU, بوساقو
